,Precinct,Ratio_win
0,72,0.702834799609
1,36,-0.257107540173
2,80A,0.675531914894
3,6,-0.0324909747292
4,30,-0.359935509875
5,10,0.454545454545
6,70,0.617582417582
7,38,-0.403372243839
8,32,-0.156097560976
9,22,-0.245385450597
10,64,-0.611111111111
11,28,-0.0370659383535
12,62,-0.469041560645
13,401,-0.876543209877
14,403,-0.884868421053
15,305,-0.973190348525
16,502,-0.935587761675
17,42,-0.471198568873
18,206,-0.81127129751
19,203,-0.584772370487
20,402,-0.951060358891
21,501,-0.861648016277
22,404,-0.779237844941
23,405,-0.93786407767
24,302,-0.932773109244
25,204,-0.86858974359
26,304,-0.954545454545
27,205,-0.33215755438
28,505,-0.609090909091
29,504,-0.732142857143
30,303,-0.986348122867
31,301,-0.962264150943
32,G04,-0.881051175657
33,G03,-0.909090909091
34,G01,-0.793859649123
35,G71,-0.961373390558
36,G72,-0.895169578623
37,G51,-0.394190871369
38,G54,-0.816205533597
39,H28,-0.0683321087436
40,H17,-0.377483443709
41,H10,-0.845828933474
42,G57,-0.634385201306
43,G07,-0.474926253687
44,G08,-0.59133126935
45,JEF3,-0.698701298701
46,H29A,-0.12443438914
47,H05,-0.727148703956
48,G69,-0.85046728972
49,G60,-0.414050822123
50,MON2A,-0.420814479638
51,H01,-0.332053742802
52,G10,-0.642495784148
53,FEN1,-0.458264234384
54,G43,-0.299284984678
55,G49,-0.602977667494
56,G74,-0.960396039604
57,H29B,-0.175190424374
58,JAM3,1.0
59,G05,-0.963060686016
60,G73,-0.956354300385
61,G50,-0.549773755656
62,SUM1,-0.291187739464
63,G64,-0.436754176611
64,G67,-0.967213114754
65,G37,-0.42358974359
66,G58,-0.629420084866
67,G55,-0.72366148532
68,G52,-0.810841983852
69,H19A,-0.763113367174
70,H18,-0.554744525547
71,G02,-0.422535211268
72,G06,-0.936868686869
73,H11,-0.790070921986
74,G26,-0.508823529412
75,G47,-0.614201183432
76,G46,-0.939148073022
77,G61,-0.610837438424
78,H09,-0.953153153153
79,MON2B,-0.325554259043
80,G59,-0.572755417957
81,G53,-0.873846153846
82,G56,-0.577023498695
83,G09,-0.684905660377
84,H12,-0.350393700787
85,G75,-0.908584169454
86,G70,-0.953883495146
87,H07,-0.822510822511
88,G68,-0.974468085106
89,H19B,0.0403587443946
90,H03,-0.49356223176
91,H08,-0.849180327869
92,41,-0.744680851064
93,78.1,-0.408849557522
94,222,-0.438898450947
95,212,-0.538361929427
96,130,-0.366336633663
97,82,-0.886319845857
98,31,-0.902728351127
99,12,-0.782841823056
100,97,-0.476923076923
101,125,-0.434108527132
102,141,-0.510067114094
103,146,-0.592644978784
104,33,-0.383285302594
105,39,-0.865905848787
106,53,-0.775700934579
107,54,-0.872180451128
108,17,-0.777419354839
109,105,-0.58904109589
110,104,-0.790064102564
111,132,-0.358056265985
112,56,-0.882591093117
113,108,-0.727959697733
114,213,-0.71986970684
115,14,-0.819397993311
116,11,-0.259006815969
117,98,-0.641532756489
118,25,-0.910755148741
119,210,-0.765618619845
120,211,-0.431989063568
121,2,-1.0
122,3,-0.789603960396
123,77,-0.801117318436
124,117,-0.42782152231
125,79,-0.230148048452
126,99,-0.699805068226
127,116,-0.539634146341
128,147,-0.65034965035
129,123,-0.552758954501
130,45,-0.349253731343
131,24,-0.679245283019
132,27,-0.836107554417
133,138,-0.50643776824
134,40,-0.729927007299
135,61,-0.371169125993
136,81,-0.586342744583
137,135,-0.674811195024
138,151,-0.428954423592
139,204.1,-0.626149131767
140,84,-0.558897243108
141,5,-0.507014028056
142,4,0.278495887192
143,52,-0.835907335907
144,55,-0.87460815047
145,60,-0.831672203765
146,120,-0.64500792393
147,107.1,-0.548201438849
148,26,-0.711634546752
149,29,-0.452348993289
150,43,-0.712851405622
151,46,-0.466946484785
152,13,-0.506578947368
153,16,-0.922912205567
154,124,-0.676071055381
155,126,-0.630008525149
156,149,-0.61013215859
157,63,-0.525745257453
158,23,-0.776576576577
159,237,-0.514195583596
160,18,-0.856
161,44,0.662420382166
162,34,-0.0191339375629
163,35,-0.314079422383
164,8,0.461265103056
